move_id,date,source_document,work_order,product_code,product_name,category,quantity,unit_cost,total_cost,warehouse,movement_type,customer_code,equipment_serial,created_by
SM-0001,2026-02-04,DOC-ANON-0001,WO-ANON-0001,BRK-PAD-001,Front brake pad set,Brakes,2,71.9,148.83,MAIN,ISSUE,CUST-ANON-0001,EQ-ANON-0001,USER-0006
SM-0002,2026-02-05,DOC-ANON-0024,WO-ANON-0002,OIL-FLTR-002,Oil filter cartridge,Filters,1,21.09,21.83,MAIN,ISSUE,CUST-ANON-0002,EQ-ANON-0002,USER-0006
SM-0003,2026-02-09,DOC-ANON-0003,WO-ANON-0003,BAT-STD-003,Standard battery,Batteries,1,172.57,178.6,MAIN,ISSUE,CUST-ANON-0003,EQ-ANON-0003,USER-0007
SM-0004,2026-02-10,DOC-ANON-0025,WO-ANON-0004,ALT-ASM-004,Alternator assembly,Electrical,1,230.09,238.13,MAIN,ISSUE,CUST-ANON-0004,EQ-ANON-0004,USER-0007
SM-0005,2026-02-14,DOC-ANON-0026,WO-ANON-0010,AIR-FLTR-005,Air filter,Filters,1,33.55,34.73,MAIN,ISSUE,CUST-ANON-0005,EQ-ANON-0005,USER-0008
SM-0006,2026-02-17,PO-ANON-0021,WO-ANON-0008,TURBO-006,Turbocharger assembly,Engine,1,862.83,892.98,DIRECT,DIRECT_FIT,CUST-ANON-0006,EQ-ANON-0006,USER-0009
SM-0007,2026-02-20,DOC-ANON-0005,WO-ANON-0005,CLT-KIT-007,Clutch kit,Transmission,1,345.13,357.19,MAIN,ISSUE,CUST-ANON-0007,EQ-ANON-0007,USER-0008
SM-0008,2026-02-24,DOC-ANON-0027,,LIGHT-008,Headlamp bulb,Electrical,2,21.57,44.65,MAIN,ISSUE,CUST-ANON-0008,EQ-ANON-0008,USER-0010
SM-0009,2026-03-04,DOC-ANON-0007,WO-ANON-0007,SENSOR-009,Oxygen sensor,Electrical,1,81.49,84.34,MAIN,ISSUE,CUST-ANON-0008,EQ-ANON-0009,USER-0010
SM-0010,2026-03-07,DOC-ANON-0028,WO-ANON-0011,INVALID-999,Unmapped field part,Misc,1,47.94,49.61,MAIN,ISSUE,CUST-ANON-0009,EQ-ANON-0010,USER-0011
SM-0011,2026-03-08,DOC-ANON-0001,WO-ANON-0001,BRK-PAD-001,Front brake pad set,Brakes,2,71.9,148.83,MAIN,ISSUE,CUST-ANON-0001,EQ-ANON-0001,USER-0006
SM-0012,2026-05-02,DOC-ANON-0029,WO-ANON-0009,HOSE-010,Hydraulic hose,Hydraulics,3,28.76,991.21,MAIN,ISSUE,CUST-ANON-0009,EQ-ANON-0011,USER-0011
