group,original,masked
customer_code,CUST-001,CUST-ANON-0001
customer_code,CUST-002,CUST-ANON-0002
customer_code,CUST-003,CUST-ANON-0003
customer_code,CUST-004,CUST-ANON-0004
customer_code,CUST-005,CUST-ANON-0005
customer_code,CUST-006,CUST-ANON-0006
customer_code,CUST-007,CUST-ANON-0007
customer_code,CUST-008,CUST-ANON-0008
customer_name,Acme Fleet Services,Customer 0001
customer_name,Delta Logistics,Customer 0002
customer_name,Metro Utilities,Customer 0003
customer_name,North Coast Rentals,Customer 0004
customer_name,Canal Transport,Customer 0005
customer_name,Harbor Equipment,Customer 0006
customer_name,Urban Transit,Customer 0007
customer_name,Eastern Delivery,Customer 0008
journal,INV,JRN-ANON-0001
journal,MAN,JRN-ANON-0002
document,STK-ISS-1001,DOC-ANON-0001
document,AUTO/STK-ISS-1002,DOC-ANON-0002
document,STK-ISS-1003,DOC-ANON-0003
document,WO-1004 PART ISSUE,DOC-ANON-0004
document,STK-ISS-1007,DOC-ANON-0005
document,MANUAL-ADJ-778,DOC-ANON-0006
document,PO-9006,DOC-ANON-0007
document,STK-ISS-1015,DOC-ANON-0008
document,JE-2026-0001,DOC-ANON-0009
document,JE-2026-0002,DOC-ANON-0010
document,JE-2026-0003,DOC-ANON-0011
document,JE-2026-0004,DOC-ANON-0012
document,JE-2026-0005,DOC-ANON-0013
document,JE-2026-0006,DOC-ANON-0014
document,JE-2026-0007,DOC-ANON-0015
document,JE-2026-0008,DOC-ANON-0016
document,JE-2026-0009,DOC-ANON-0017
work_order,WO-1001,WO-ANON-0001
work_order,WO-1002,WO-ANON-0002
work_order,WO-1003,WO-ANON-0003
work_order,WO-1004,WO-ANON-0004
work_order,WO-1007,WO-ANON-0005
work_order,WO-1009,WO-ANON-0006
work_order,WO-1008,WO-ANON-0007
user,accountant_a,USER-0001
user,accountant_b,USER-0002
user,accountant_c,USER-0003
user,controller,USER-0004
invoice,INV-1001,INV-ANON-0001
invoice,INV-1002,INV-ANON-0002
invoice,INV-1003,INV-ANON-0003
invoice,INV-1004,INV-ANON-0004
invoice,INV-1007,INV-ANON-0005
return,RET-0001,RET-ANON-0001
return,RET-0002,RET-ANON-0002
return,RET-0003,RET-ANON-0003
user,stores_supervisor,USER-0005
document,PO-9001,PO-ANON-0018
document,PO-9002,PO-ANON-0019
document,PO-9003,PO-ANON-0020
document,PO-9004,PO-ANON-0021
document,PO-9005,PO-ANON-0022
document,PO-9007,PO-ANON-0023
supplier_code,SUP-001,SUP-ANON-0001
supplier_code,SUP-002,SUP-ANON-0002
supplier_code,SUP-003,SUP-ANON-0003
supplier_code,SUP-004,SUP-ANON-0004
supplier_code,SUP-005,SUP-ANON-0005
supplier_code,SUP-006,SUP-ANON-0006
supplier_code,SUP-007,SUP-ANON-0007
supplier_name,Parts Hub,Supplier 0001
supplier_name,Filter Supply Co,Supplier 0002
supplier_name,PowerCell,Supplier 0003
supplier_name,Direct Turbo Parts,Supplier 0004
supplier_name,Transmission Depot,Supplier 0005
supplier_name,SensorWorks,Supplier 0006
supplier_name,Hydraulic Supply,Supplier 0007
work_order,WO-1006,WO-ANON-0008
work_order,WO-1010,WO-ANON-0009
document,STK-ISS-1002,DOC-ANON-0024
document,STK-ISS-1004,DOC-ANON-0025
document,STK-ISS-1005,DOC-ANON-0026
document,STK-ISS-1008,DOC-ANON-0027
document,STK-ISS-1010,DOC-ANON-0028
document,STK-ISS-1012,DOC-ANON-0029
work_order,WO-1005,WO-ANON-0010
work_order,WO-9999,WO-ANON-0011
customer_code,CUST-999,CUST-ANON-0009
equipment,VH-7788,EQ-ANON-0001
equipment,VH-8821,EQ-ANON-0002
equipment,VH-9912,EQ-ANON-0003
equipment,VH-1004,EQ-ANON-0004
equipment,VH-3305,EQ-ANON-0005
equipment,VH-4520,EQ-ANON-0006
equipment,VH-7012,EQ-ANON-0007
equipment,VH-8008,EQ-ANON-0008
equipment,VH-1008,EQ-ANON-0009
equipment,VH-4040,EQ-ANON-0010
equipment,VH-1010,EQ-ANON-0011
user,store_clerk_a,USER-0006
user,store_clerk_b,USER-0007
user,store_clerk_c,USER-0008
user,purchasing_user,USER-0009
user,store_clerk_d,USER-0010
user,store_clerk_e,USER-0011
customer_name,Unmapped Customer,Customer 0009
equipment,VH-9009,EQ-ANON-0012
engineer,Eng. Laila Hassan,Engineer 0001
engineer,Eng. Omar Nabil,Engineer 0002
engineer,Eng. Mina Adel,Engineer 0003
engineer,Eng. Salma Reda,Engineer 0004
engineer,Eng. Karim Fouad,Engineer 0005
engineer,Eng. Hany Youssef,Engineer 0006
engineer,Eng. Dina Mourad,Engineer 0007
engineer,Eng. Samir Atef,Engineer 0008
